,name,year,month,day,hour,lat,long,status,category,wind,pressure,tropicalstorm_force_diameter,hurricane_force_diameter,DATETIME1,date,start_date,time,pointh,end_date
45,Caroline,1975,08,28,06,22.4,-88.8,tropical depression,-1,25,1014,,,1975-08-28 06:00:00,1975-08-28,1975-08-28,06:00:00,POINT (22.4 -88.8),1975-09-27
44,Caroline,1975,08,28,00,22,-87.5,tropical depression,-1,25,1014,,,1975-08-28 00:00:00,1975-08-28,1975-08-28,00:00:00,POINT (22 -87.5),1975-09-27
47,Caroline,1975,08,28,18,22.9,-91,tropical depression,-1,25,1010,,,1975-08-28 18:00:00,1975-08-28,1975-08-28,18:00:00,POINT (22.9 -91),1975-09-27
46,Caroline,1975,08,28,12,22.8,-90.1,tropical depression,-1,25,1013,,,1975-08-28 12:00:00,1975-08-28,1975-08-28,12:00:00,POINT (22.8 -90.1),1975-09-27
64,Doris,1975,08,29,18,35.2,-49.1,tropical storm,0,50,1000,,,1975-08-29 18:00:00,1975-08-29,1975-08-29,18:00:00,POINT (35.2 -49.1),1975-09-28
48,Caroline,1975,08,29,00,23,-91.9,tropical depression,-1,30,1007,,,1975-08-29 00:00:00,1975-08-29,1975-08-29,00:00:00,POINT (23 -91.9),1975-09-28
49,Caroline,1975,08,29,06,23.1,-92.6,tropical storm,0,35,1003,,,1975-08-29 06:00:00,1975-08-29,1975-08-29,06:00:00,POINT (23.1 -92.6),1975-09-28
50,Caroline,1975,08,29,12,23.2,-93.2,tropical storm,0,40,999,,,1975-08-29 12:00:00,1975-08-29,1975-08-29,12:00:00,POINT (23.2 -93.2),1975-09-28
51,Caroline,1975,08,29,18,23.2,-93.6,tropical storm,0,50,994,,,1975-08-29 18:00:00,1975-08-29,1975-08-29,18:00:00,POINT (23.2 -93.6),1975-09-28
63,Doris,1975,08,29,12,34.9,-48.9,tropical storm,0,45,1005,,,1975-08-29 12:00:00,1975-08-29,1975-08-29,12:00:00,POINT (34.9 -48.9),1975-09-28
66,Doris,1975,08,30,06,35.3,-48.5,tropical storm,0,55,997,,,1975-08-30 06:00:00,1975-08-30,1975-08-30,06:00:00,POINT (35.3 -48.5),1975-09-29
65,Doris,1975,08,30,00,35.3,-48.9,tropical storm,0,55,997,,,1975-08-30 00:00:00,1975-08-30,1975-08-30,00:00:00,POINT (35.3 -48.9),1975-09-29
68,Doris,1975,08,30,18,35,-47.1,tropical storm,0,55,997,,,1975-08-30 18:00:00,1975-08-30,1975-08-30,18:00:00,POINT (35 -47.1),1975-09-29
67,Doris,1975,08,30,12,35.3,-48,tropical storm,0,55,997,,,1975-08-30 12:00:00,1975-08-30,1975-08-30,12:00:00,POINT (35.3 -48),1975-09-29
54,Caroline,1975,08,30,12,23.7,-95.6,hurricane,1,65,989,,,1975-08-30 12:00:00,1975-08-30,1975-08-30,12:00:00,POINT (23.7 -95.6),1975-09-29
53,Caroline,1975,08,30,06,23.5,-94.9,hurricane,1,65,990,,,1975-08-30 06:00:00,1975-08-30,1975-08-30,06:00:00,POINT (23.5 -94.9),1975-09-29
52,Caroline,1975,08,30,00,23.3,-94.2,hurricane,1,65,990,,,1975-08-30 00:00:00,1975-08-30,1975-08-30,00:00:00,POINT (23.3 -94.2),1975-09-29
55,Caroline,1975,08,30,18,23.8,-96.3,hurricane,1,70,987,,,1975-08-30 18:00:00,1975-08-30,1975-08-30,18:00:00,POINT (23.8 -96.3),1975-09-29
57,Caroline,1975,08,31,06,24.1,-97.5,hurricane,3,100,963,,,1975-08-31 06:00:00,1975-08-31,1975-08-31,06:00:00,POINT (24.1 -97.5),1975-09-30
58,Caroline,1975,08,31,12,24.3,-97.8,hurricane,2,90,963,,,1975-08-31 12:00:00,1975-08-31,1975-08-31,12:00:00,POINT (24.3 -97.8),1975-09-30
59,Caroline,1975,08,31,18,24.8,-98,tropical storm,0,55,993,,,1975-08-31 18:00:00,1975-08-31,1975-08-31,18:00:00,POINT (24.8 -98),1975-09-30
56,Caroline,1975,08,31,00,24,-97,hurricane,3,100,973,,,1975-08-31 00:00:00,1975-08-31,1975-08-31,00:00:00,POINT (24 -97),1975-09-30
71,Doris,1975,08,31,12,34.7,-45.2,hurricane,1,70,990,,,1975-08-31 12:00:00,1975-08-31,1975-08-31,12:00:00,POINT (34.7 -45.2),1975-09-30
69,Doris,1975,08,31,00,34.9,-46.3,hurricane,1,65,990,,,1975-08-31 00:00:00,1975-08-31,1975-08-31,00:00:00,POINT (34.9 -46.3),1975-09-30
72,Doris,1975,08,31,18,34.6,-44.9,hurricane,1,70,990,,,1975-08-31 18:00:00,1975-08-31,1975-08-31,18:00:00,POINT (34.6 -44.9),1975-09-30
70,Doris,1975,08,31,06,34.8,-45.7,hurricane,1,65,990,,,1975-08-31 06:00:00,1975-08-31,1975-08-31,06:00:00,POINT (34.8 -45.7),1975-09-30
61,Caroline,1975,09,1,06,25.2,-98.7,tropical depression,-1,20,1002,,,1975-09-01 06:00:00,1975-09-01,1975-09-01,06:00:00,POINT (25.2 -98.7),1975-10-01
60,Caroline,1975,09,1,00,25.1,-98.3,tropical depression,-1,30,1000,,,1975-09-01 00:00:00,1975-09-01,1975-09-01,00:00:00,POINT (25.1 -98.3),1975-10-01
73,Doris,1975,09,1,00,34.5,-44.6,hurricane,1,75,984,,,1975-09-01 00:00:00,1975-09-01,1975-09-01,00:00:00,POINT (34.5 -44.6),1975-10-01
74,Doris,1975,09,1,06,34.6,-44.2,hurricane,1,75,984,,,1975-09-01 06:00:00,1975-09-01,1975-09-01,06:00:00,POINT (34.6 -44.2),1975-10-01
75,Doris,1975,09,1,12,34.9,-44,hurricane,1,75,984,,,1975-09-01 12:00:00,1975-09-01,1975-09-01,12:00:00,POINT (34.9 -44),1975-10-01
76,Doris,1975,09,1,18,35.4,-44,hurricane,1,75,984,,,1975-09-01 18:00:00,1975-09-01,1975-09-01,18:00:00,POINT (35.4 -44),1975-10-01
62,Caroline,1975,09,1,12,25.3,-99,tropical depression,-1,20,1002,,,1975-09-01 12:00:00,1975-09-01,1975-09-01,12:00:00,POINT (25.3 -99),1975-10-01
78,Doris,1975,09,2,06,36.4,-44.5,hurricane,2,95,965,,,1975-09-02 06:00:00,1975-09-02,1975-09-02,06:00:00,POINT (36.4 -44.5),1975-10-02
77,Doris,1975,09,2,00,35.8,-44.4,hurricane,2,90,970,,,1975-09-02 00:00:00,1975-09-02,1975-09-02,00:00:00,POINT (35.8 -44.4),1975-10-02
80,Doris,1975,09,2,18,37.7,-44.2,hurricane,2,95,965,,,1975-09-02 18:00:00,1975-09-02,1975-09-02,18:00:00,POINT (37.7 -44.2),1975-10-02
79,Doris,1975,09,2,12,37,-44.3,hurricane,2,95,965,,,1975-09-02 12:00:00,1975-09-02,1975-09-02,12:00:00,POINT (37 -44.3),1975-10-02
81,Doris,1975,09,3,00,38.4,-43.8,hurricane,2,95,965,,,1975-09-03 00:00:00,1975-09-03,1975-09-03,00:00:00,POINT (38.4 -43.8),1975-10-03
82,Doris,1975,09,3,06,39.7,-43.6,hurricane,2,95,965,,,1975-09-03 06:00:00,1975-09-03,1975-09-03,06:00:00,POINT (39.7 -43.6),1975-10-03
83,Doris,1975,09,3,12,41.1,-43,hurricane,2,95,965,,,1975-09-03 12:00:00,1975-09-03,1975-09-03,12:00:00,POINT (41.1 -43),1975-10-03
84,Doris,1975,09,3,18,42,-42.5,hurricane,2,90,970,,,1975-09-03 18:00:00,1975-09-03,1975-09-03,18:00:00,POINT (42 -42.5),1975-10-03
85,Doris,1975,09,4,00,42.8,-42,tropical storm,0,60,995,,,1975-09-04 00:00:00,1975-09-04,1975-09-04,00:00:00,POINT (42.8 -42),1975-10-04
86,Belle,1976,08,6,06,26,-72.8,tropical depression,-1,25,1012,,,1976-08-06 06:00:00,1976-08-06,1976-08-06,06:00:00,POINT (26 -72.8),1976-09-05
87,Belle,1976,08,6,12,26.3,-73,tropical depression,-1,25,1012,,,1976-08-06 12:00:00,1976-08-06,1976-08-06,12:00:00,POINT (26.3 -73),1976-09-05
88,Belle,1976,08,6,18,26,-73.4,tropical depression,-1,30,1009,,,1976-08-06 18:00:00,1976-08-06,1976-08-06,18:00:00,POINT (26 -73.4),1976-09-05
89,Belle,1976,08,7,00,25.6,-73.2,tropical storm,0,40,1005,,,1976-08-07 00:00:00,1976-08-07,1976-08-07,00:00:00,POINT (25.6 -73.2),1976-09-06
90,Belle,1976,08,7,06,26,-73.2,tropical storm,0,45,1000,,,1976-08-07 06:00:00,1976-08-07,1976-08-07,06:00:00,POINT (26 -73.2),1976-09-06
91,Belle,1976,08,7,12,26.2,-73.7,tropical storm,0,55,993,,,1976-08-07 12:00:00,1976-08-07,1976-08-07,12:00:00,POINT (26.2 -73.7),1976-09-06
92,Belle,1976,08,7,18,26.6,-74.2,hurricane,1,70,985,,,1976-08-07 18:00:00,1976-08-07,1976-08-07,18:00:00,POINT (26.6 -74.2),1976-09-06
93,Belle,1976,08,8,00,26.9,-74.6,hurricane,1,80,972,,,1976-08-08 00:00:00,1976-08-08,1976-08-08,00:00:00,POINT (26.9 -74.6),1976-09-07
94,Belle,1976,08,8,06,27.4,-75.1,hurricane,2,90,962,,,1976-08-08 06:00:00,1976-08-08,1976-08-08,06:00:00,POINT (27.4 -75.1),1976-09-07
95,Belle,1976,08,8,12,28.1,-75.1,hurricane,2,95,959,,,1976-08-08 12:00:00,1976-08-08,1976-08-08,12:00:00,POINT (28.1 -75.1),1976-09-07
96,Belle,1976,08,8,18,29.5,-75.3,hurricane,3,100,958,,,1976-08-08 18:00:00,1976-08-08,1976-08-08,18:00:00,POINT (29.5 -75.3),1976-09-07
97,Belle,1976,08,9,00,30.9,-75.3,hurricane,3,105,957,,,1976-08-09 00:00:00,1976-08-09,1976-08-09,00:00:00,POINT (30.9 -75.3),1976-09-08
98,Belle,1976,08,9,06,32.5,-75.2,hurricane,3,105,959,,,1976-08-09 06:00:00,1976-08-09,1976-08-09,06:00:00,POINT (32.5 -75.2),1976-09-08
99,Belle,1976,08,9,12,34.4,-74.7,hurricane,2,95,963,,,1976-08-09 12:00:00,1976-08-09,1976-08-09,12:00:00,POINT (34.4 -74.7),1976-09-08
100,Belle,1976,08,9,18,36.6,-74.2,hurricane,2,90,970,,,1976-08-09 18:00:00,1976-08-09,1976-08-09,18:00:00,POINT (36.6 -74.2),1976-09-08
101,Belle,1976,08,10,00,38.8,-73.8,hurricane,1,80,977,,,1976-08-10 00:00:00,1976-08-10,1976-08-10,00:00:00,POINT (38.8 -73.8),1976-09-09
102,Belle,1976,08,10,06,41,-73.2,tropical storm,0,60,983,,,1976-08-10 06:00:00,1976-08-10,1976-08-10,06:00:00,POINT (41 -73.2),1976-09-09
103,Belle,1976,08,10,12,42.6,-72.4,tropical storm,0,35,992,,,1976-08-10 12:00:00,1976-08-10,1976-08-10,12:00:00,POINT (42.6 -72.4),1976-09-09
104,Gloria,1976,09,26,12,23,-58,tropical depression,-1,20,1009,,,1976-09-26 12:00:00,1976-09-26,1976-09-26,12:00:00,POINT (23 -58),1976-10-26
105,Gloria,1976,09,26,18,23.7,-58.1,tropical depression,-1,20,1007,,,1976-09-26 18:00:00,1976-09-26,1976-09-26,18:00:00,POINT (23.7 -58.1),1976-10-26
106,Gloria,1976,09,27,00,24.3,-58.2,tropical depression,-1,25,1005,,,1976-09-27 00:00:00,1976-09-27,1976-09-27,00:00:00,POINT (24.3 -58.2),1976-10-27
107,Gloria,1976,09,27,06,24.9,-58.1,tropical depression,-1,30,1001,,,1976-09-27 06:00:00,1976-09-27,1976-09-27,06:00:00,POINT (24.9 -58.1),1976-10-27
108,Gloria,1976,09,27,12,25.7,-58,tropical storm,0,35,997,,,1976-09-27 12:00:00,1976-09-27,1976-09-27,12:00:00,POINT (25.7 -58),1976-10-27
109,Gloria,1976,09,27,18,26.3,-58,tropical storm,0,45,994,,,1976-09-27 18:00:00,1976-09-27,1976-09-27,18:00:00,POINT (26.3 -58),1976-10-27
110,Gloria,1976,09,28,00,27,-58,tropical storm,0,55,993,,,1976-09-28 00:00:00,1976-09-28,1976-09-28,00:00:00,POINT (27 -58),1976-10-28
111,Gloria,1976,09,28,06,27.5,-58.2,tropical storm,0,60,992,,,1976-09-28 06:00:00,1976-09-28,1976-09-28,06:00:00,POINT (27.5 -58.2),1976-10-28
112,Gloria,1976,09,28,12,27.8,-58.6,tropical storm,0,60,992,,,1976-09-28 12:00:00,1976-09-28,1976-09-28,12:00:00,POINT (27.8 -58.6),1976-10-28
113,Gloria,1976,09,28,18,28.2,-59,tropical storm,0,60,991,,,1976-09-28 18:00:00,1976-09-28,1976-09-28,18:00:00,POINT (28.2 -59),1976-10-28
114,Gloria,1976,09,29,00,28.6,-59.5,tropical storm,0,60,988,,,1976-09-29 00:00:00,1976-09-29,1976-09-29,00:00:00,POINT (28.6 -59.5),1976-10-29
115,Gloria,1976,09,29,06,29.1,-59.8,hurricane,1,65,984,,,1976-09-29 06:00:00,1976-09-29,1976-09-29,06:00:00,POINT (29.1 -59.8),1976-10-29
116,Gloria,1976,09,29,12,29.7,-60.2,hurricane,1,65,979,,,1976-09-29 12:00:00,1976-09-29,1976-09-29,12:00:00,POINT (29.7 -60.2),1976-10-29
117,Gloria,1976,09,29,18,30.2,-60.3,hurricane,1,70,973,,,1976-09-29 18:00:00,1976-09-29,1976-09-29,18:00:00,POINT (30.2 -60.3),1976-10-29
119,Gloria,1976,09,30,06,32.2,-59.8,hurricane,2,85,971,,,1976-09-30 06:00:00,1976-09-30,1976-09-30,06:00:00,POINT (32.2 -59.8),1976-10-30
118,Gloria,1976,09,30,00,31.1,-60.2,hurricane,1,80,970,,,1976-09-30 00:00:00,1976-09-30,1976-09-30,00:00:00,POINT (31.1 -60.2),1976-10-30
121,Gloria,1976,09,30,18,34,-57.5,hurricane,2,90,981,,,1976-09-30 18:00:00,1976-09-30,1976-09-30,18:00:00,POINT (34 -57.5),1976-10-30
120,Gloria,1976,09,30,12,33.1,-58.8,hurricane,2,90,977,,,1976-09-30 12:00:00,1976-09-30,1976-09-30,12:00:00,POINT (33.1 -58.8),1976-10-30
122,Gloria,1976,10,1,00,34.7,-56.1,hurricane,2,90,985,,,1976-10-01 00:00:00,1976-10-01,1976-10-01,00:00:00,POINT (34.7 -56.1),1976-10-31
123,Gloria,1976,10,1,06,35.3,-54.8,hurricane,2,85,988,,,1976-10-01 06:00:00,1976-10-01,1976-10-01,06:00:00,POINT (35.3 -54.8),1976-10-31
124,Gloria,1976,10,1,12,35.7,-53.7,hurricane,1,80,990,,,1976-10-01 12:00:00,1976-10-01,1976-10-01,12:00:00,POINT (35.7 -53.7),1976-10-31
125,Gloria,1976,10,1,18,36.1,-52.6,hurricane,1,75,992,,,1976-10-01 18:00:00,1976-10-01,1976-10-01,18:00:00,POINT (36.1 -52.6),1976-10-31
126,Gloria,1976,10,2,00,36.4,-51.7,hurricane,1,70,993,,,1976-10-02 00:00:00,1976-10-02,1976-10-02,00:00:00,POINT (36.4 -51.7),1976-11-01
127,Gloria,1976,10,2,06,36.6,-50.8,tropical storm,0,60,994,,,1976-10-02 06:00:00,1976-10-02,1976-10-02,06:00:00,POINT (36.6 -50.8),1976-11-01
128,Gloria,1976,10,2,12,36.8,-49.9,tropical storm,0,60,995,,,1976-10-02 12:00:00,1976-10-02,1976-10-02,12:00:00,POINT (36.8 -49.9),1976-11-01
129,Gloria,1976,10,2,18,36.9,-49,tropical storm,0,55,996,,,1976-10-02 18:00:00,1976-10-02,1976-10-02,18:00:00,POINT (36.9 -49),1976-11-01
133,Gloria,1976,10,3,18,35.8,-45.8,tropical storm,0,40,1001,,,1976-10-03 18:00:00,1976-10-03,1976-10-03,18:00:00,POINT (35.8 -45.8),1976-11-02
132,Gloria,1976,10,3,12,36.2,-46.9,tropical storm,0,40,999,,,1976-10-03 12:00:00,1976-10-03,1976-10-03,12:00:00,POINT (36.2 -46.9),1976-11-02
131,Gloria,1976,10,3,06,36.4,-47.6,tropical storm,0,45,998,,,1976-10-03 06:00:00,1976-10-03,1976-10-03,06:00:00,POINT (36.4 -47.6),1976-11-02
130,Gloria,1976,10,3,00,36.8,-48.3,tropical storm,0,50,997,,,1976-10-03 00:00:00,1976-10-03,1976-10-03,00:00:00,POINT (36.8 -48.3),1976-11-02
134,Gloria,1976,10,4,00,35.7,-44.6,tropical storm,0,35,1002,,,1976-10-04 00:00:00,1976-10-04,1976-10-04,00:00:00,POINT (35.7 -44.6),1976-11-03
135,Gloria,1976,10,4,06,36,-43,tropical depression,-1,30,1003,,,1976-10-04 06:00:00,1976-10-04,1976-10-04,06:00:00,POINT (36 -43),1976-11-03
136,Gloria,1976,10,4,12,36.5,-41.4,tropical depression,-1,30,1005,,,1976-10-04 12:00:00,1976-10-04,1976-10-04,12:00:00,POINT (36.5 -41.4),1976-11-03
137,Gloria,1976,10,4,18,37.4,-38.7,tropical depression,-1,30,1006,,,1976-10-04 18:00:00,1976-10-04,1976-10-04,18:00:00,POINT (37.4 -38.7),1976-11-03
138,Anita,1977,08,29,12,26.9,-88.4,tropical depression,-1,20,1012,,,1977-08-29 12:00:00,1977-08-29,1977-08-29,12:00:00,POINT (26.9 -88.4),1977-09-28
139,Anita,1977,08,29,18,27,-88.9,tropical depression,-1,25,1010,,,1977-08-29 18:00:00,1977-08-29,1977-08-29,18:00:00,POINT (27 -88.9),1977-09-28
140,Anita,1977,08,30,00,26.9,-89.4,tropical depression,-1,30,1009,,,1977-08-30 00:00:00,1977-08-30,1977-08-30,00:00:00,POINT (26.9 -89.4),1977-09-29
141,Anita,1977,08,30,06,26.8,-89.8,tropical storm,0,40,1006,,,1977-08-30 06:00:00,1977-08-30,1977-08-30,06:00:00,POINT (26.8 -89.8),1977-09-29
142,Anita,1977,08,30,12,26.7,-90.3,tropical storm,0,50,1003,,,1977-08-30 12:00:00,1977-08-30,1977-08-30,12:00:00,POINT (26.7 -90.3),1977-09-29
143,Anita,1977,08,30,18,26.5,-90.6,hurricane,1,65,997,,,1977-08-30 18:00:00,1977-08-30,1977-08-30,18:00:00,POINT (26.5 -90.6),1977-09-29
144,Anita,1977,08,31,00,26.4,-91,hurricane,1,70,991,,,1977-08-31 00:00:00,1977-08-31,1977-08-31,00:00:00,POINT (26.4 -91),1977-09-30
145,Anita,1977,08,31,06,26.3,-91.4,hurricane,1,75,988,,,1977-08-31 06:00:00,1977-08-31,1977-08-31,06:00:00,POINT (26.3 -91.4),1977-09-30
146,Anita,1977,08,31,12,26.2,-91.8,hurricane,1,75,986,,,1977-08-31 12:00:00,1977-08-31,1977-08-31,12:00:00,POINT (26.2 -91.8),1977-09-30
147,Anita,1977,08,31,18,26.1,-92.3,hurricane,1,80,985,,,1977-08-31 18:00:00,1977-08-31,1977-08-31,18:00:00,POINT (26.1 -92.3),1977-09-30
148,Anita,1977,09,1,00,25.9,-92.8,hurricane,1,80,979,,,1977-09-01 00:00:00,1977-09-01,1977-09-01,00:00:00,POINT (25.9 -92.8),1977-10-01
149,Anita,1977,09,1,06,25.8,-93.7,hurricane,2,85,972,,,1977-09-01 06:00:00,1977-09-01,1977-09-01,06:00:00,POINT (25.8 -93.7),1977-10-01
150,Anita,1977,09,1,12,25.5,-94.7,hurricane,2,90,963,,,1977-09-01 12:00:00,1977-09-01,1977-09-01,12:00:00,POINT (25.5 -94.7),1977-10-01
151,Anita,1977,09,1,18,25.2,-95.5,hurricane,3,110,945,,,1977-09-01 18:00:00,1977-09-01,1977-09-01,18:00:00,POINT (25.2 -95.5),1977-10-01
