,PipeIDX,CAUSE,LATITUDE,LONGITUDE,yr,lat,long,status,category,wind,pressure,tropicalstorm_force_diameter,hurricane_force_diameter,HurIdx,diftime,distance,frequency,max_int,fourplus,yr,failTF,locGrp,ptlong,ptlat,maxlong,minlat
5285,4732.0,outside,26.477257,-98.720668,2018.0,0.0,0.0,0,,12,-1050,0.0,0.0,10484.0,212.5,279.7378308836172,20.0,937.0,2.0,2018.0,1.0,5,-98.720668,26.477257,-97.4,42.4
1271,2893.0,outside,26.4814565,-97.783051,1984.0,0.0,0.0,0,,12,-1050,0.0,0.0,1019.0,291.5,182.03188970749613,23.0,962.0,0.0,1984.0,1.0,5,-97.783051,26.4814565,-97.4,42.4
17331,,,,,2020.0,26.5,-98.5,tropical storm,0.0,55,-987,140.0,0.0,,,,,,,2020.0,0.0,5,-98.5,26.5,-88.3,25.7
4759,5083.0,outside,26.592994,-99.086805,2015.0,0.0,0.0,0,,12,-1050,0.0,0.0,9577.0,559.0,199.25831024483125,5.0,990.0,0.0,2015.0,1.0,5,-99.086805,26.592994,-97.4,42.4
5005,4934.0,outside,26.59817,-99.08601,2016.0,0.0,0.0,0,,12,-1050,0.0,0.0,9790.0,367.75,282.1136988341919,7.0,997.0,0.0,2016.0,1.0,5,-99.08601,26.59817,-97.4,42.4
4662,27728.0,outside,26.650465,-98.460842,2014.0,0.0,0.0,0,,12,-1050,0.0,0.0,9577.0,267.0,208.29764158286545,6.0,989.0,0.0,2014.0,1.0,5,-98.460842,26.650465,-97.4,42.4
2716,23019.0,outside,26.6800573,-98.412515,2005.0,0.0,0.0,0,,12,-1050,0.0,0.0,6842.0,111.5,263.688640315813,14.0,979.0,0.0,2005.0,1.0,5,-98.412515,26.6800573,-97.4,42.4
4990,4939.0,outside,26.690688,-99.102123,2016.0,0.0,0.0,0,,12,-1050,0.0,0.0,9790.0,351.75,276.77899260596814,7.0,997.0,0.0,2016.0,1.0,5,-99.102123,26.690688,-97.4,42.4
928,2313.0,outside,26.711703,-99.1027327,1981.0,0.0,0.0,0,,12,-1050,0.0,0.0,692.0,215.0,293.5236363980358,11.0,996.0,0.0,1981.0,1.0,5,-99.1027327,26.711703,-97.4,42.4
927,2231.0,outside,26.711703,-99.1027327,1981.0,0.0,0.0,0,,12,-1050,0.0,0.0,692.0,215.0,293.5236363980358,11.0,996.0,0.0,1981.0,1.0,5,-99.1027327,26.711703,-97.4,42.4
2553,3702.0,outside,26.890053,-98.1352829,2004.0,0.0,0.0,0,,12,-1050,0.0,0.0,6142.0,209.0,202.29329031993464,25.0,979.0,0.0,2004.0,1.0,5,-98.1352829,26.890053,-97.4,42.4
2409,3650.0,human,27.0625388,-99.0236427,2003.0,0.0,0.0,0,,12,-1050,0.0,0.0,5802.0,220.0,126.75283490031975,18.0,998.0,0.0,2003.0,1.0,5,-99.0236427,27.0625388,-97.4,42.4
6644,,,,,1978.0,27.2,-97.8,tropical storm,0.0,40,-1007,,,,,,,,,1978.0,0.0,5,-97.8,27.2,-97.0,25.7
17330,,,,,2020.0,26.7,-97.6,hurricane,1.0,75,-976,160.0,25.0,,,,,,,2020.0,0.0,5,-97.6,26.7,-88.3,25.7
17323,,,,,2020.0,26.8,-97.3,hurricane,1.0,80,-973,180.0,45.0,,,,,,,2020.0,0.0,5,-97.3,26.8,-88.3,25.7
3051,23412.0,outside,27.6515548,-97.5030669,2006.0,0.0,0.0,0,,12,-1050,0.0,0.0,7180.0,277.5,284.3518172436619,16.0,931.0,0.0,2006.0,1.0,5,-97.5030669,27.6515548,-97.4,42.4
4539,19041.0,outside,27.679884,-97.37217,2014.0,0.0,0.0,0,,12,-1050,0.0,0.0,9577.0,147.0,296.72523392165067,5.0,990.0,0.0,2014.0,1.0,5,-97.37217,27.679884,-97.4,42.4
4033,19282.0,human,27.68275,-97.37949,2011.0,27.0,-97.0,0,,30,-1007,0.0,0.0,8665.0,11.0,26.0,22.0,946.0,0.0,2011.0,1.0,5,-97.37949,27.68275,-85.7,21.6
6409,24659.0,outside,27.69424,-97.57951,2022.0,0.0,0.0,0,,12,-1050,0.0,0.0,12101.0,218.75,286.6672810705287,34.0,973.0,0.0,2022.0,1.0,5,-97.57951,27.69424,-97.4,42.4
2420,3655.0,outside,27.7598388,-97.654811,2003.0,0.0,0.0,0,,12,-1050,0.0,0.0,5802.0,235.0,109.18241610178428,26.0,998.0,0.0,2003.0,1.0,5,-97.654811,27.7598388,-97.4,42.4
1296,2948.0,outside,27.7844711,-97.539716,1985.0,0.0,0.0,0,,12,-1050,0.0,0.0,1019.0,552.5,241.39188296724768,19.0,962.0,0.0,1985.0,1.0,5,-97.539716,27.7844711,-97.4,42.4
5676,25474.0,outside,27.793366,-97.554355,2019.0,28.0,-95.0,0,,30,-1008,0.0,0.0,11120.0,49.0,118.0,15.0,998.0,0.0,2019.0,1.0,5,-97.554355,27.793366,-94.8,28.3
4032,19284.0,human,27.795335,-97.39966,2011.0,27.0,-97.0,0,,30,-1007,0.0,0.0,8665.0,5.0,34.0,22.0,946.0,0.0,2011.0,1.0,5,-97.39966,27.795335,-85.7,21.6
4844,5037.0,outside,27.22217,-98.11031,2015.0,28.0,-96.0,0,,50,-997,0.0,0.0,9783.0,47.0,109.0,12.0,990.0,0.0,2015.0,1.0,5,-98.11031,27.22217,-94.3,27.0
1476,3075.0,outside,27.2269872,-98.1441714,1988.0,0.0,0.0,0,,12,-1050,0.0,0.0,1627.0,283.75,271.5861189128674,7.0,990.0,0.0,1988.0,1.0,5,-98.1441714,27.2269872,-97.4,42.4
4479,5299.0,outside,27.27418,-98.15521,2013.0,23.0,-97.0,0,,55,-991,0.0,0.0,9568.0,35.0,247.0,5.0,990.0,0.0,2013.0,1.0,5,-98.15521,27.27418,-93.6,19.1
3274,23848.0,outside,27.3605947,-98.1236151,2008.0,0.0,0.0,0,,12,-1050,0.0,0.0,7657.0,131.70833333333334,279.09162463547347,13.0,985.0,0.0,2008.0,1.0,5,-98.1236151,27.3605947,-97.4,42.4
3278,23857.0,outside,27.3605947,-98.1236151,2008.0,0.0,0.0,0,,12,-1050,0.0,0.0,7657.0,140.70833333333334,279.09162463547347,13.0,985.0,0.0,2008.0,1.0,5,-98.1236151,27.3605947,-97.4,42.4
3110,23606.0,outside,27.3605947,-98.1236151,2007.0,0.0,0.0,0,,12,-1050,0.0,0.0,6905.0,601.5,246.1283237138084,8.0,944.0,0.0,2007.0,1.0,5,-98.1236151,27.3605947,-97.4,42.4
2299,22288.0,outside,27.3605947,-98.1236151,2002.0,28.0,-98.0,0,,25,-1002,0.0,0.0,5799.0,43.0,108.0,24.0,998.0,0.0,2002.0,1.0,5,-98.1236151,27.3605947,-93.8,27.6
3286,3981.0,outside,27.4214275,-97.8511088,2008.0,0.0,0.0,0,,12,-1050,0.0,0.0,7657.0,151.70833333333334,262.9720726532357,13.0,985.0,0.0,2008.0,1.0,5,-97.8511088,27.4214275,-97.4,42.4
2801,23128.0,human,27.4397497,-99.001137,2005.0,0.0,0.0,0,,12,-1050,0.0,0.0,6142.0,660.0,205.1633626831297,13.0,979.0,0.0,2005.0,1.0,5,-99.001137,27.4397497,-97.4,42.4
5497,4600.0,outside,27.46805,-98.05033,2019.0,0.0,0.0,0,,12,-1050,0.0,0.0,10491.0,574.0,277.42413191758635,22.0,937.0,2.0,2019.0,1.0,5,-98.05033,27.46805,-97.4,42.4
3745,5717.0,outside,27.51171,-97.9847,2010.0,0.0,0.0,0,,12,-1050,0.0,0.0,8012.0,589.5,255.6178293209881,8.0,950.0,0.0,2010.0,1.0,5,-97.9847,27.51171,-97.4,42.4
2581,22802.0,human,27.5158689,-97.856109,2004.0,0.0,0.0,0,,12,-1050,0.0,0.0,6142.0,258.0,246.25411247406333,26.0,979.0,0.0,2004.0,1.0,5,-97.856109,27.5158689,-97.4,42.4
3866,29066.0,outside,27.5529182,-97.9228261,2011.0,0.0,0.0,0,,12,-1050,0.0,0.0,8393.0,119.75,294.46488296181604,19.0,946.0,0.0,2011.0,1.0,5,-97.9228261,27.5529182,-97.4,42.4
1911,21342.0,outside,27.5861441,-97.7991636,1995.0,29.0,-95.0,0,,40,-999,0.0,0.0,3404.0,36.0,188.0,14.0,988.0,0.0,1995.0,1.0,5,-97.7991636,27.5861441,-86.6,26.1
2121,21841.0,outside,27.5989194,-98.4080661,1999.0,0.0,0.0,0,,12,-1050,0.0,0.0,4498.0,137.0,210.300398726996,11.0,1000.0,0.0,1999.0,1.0,5,-98.4080661,27.5989194,-97.4,42.4
2518,24489.0,outside,27.6654382,-97.7538935,2004.0,0.0,0.0,0,,12,-1050,0.0,0.0,6142.0,155.0,258.21821258624243,26.0,979.0,0.0,2004.0,1.0,5,-97.7538935,27.6654382,-97.4,42.4
2514,22751.0,human,27.6744741,-97.7486072,2004.0,0.0,0.0,0,,12,-1050,0.0,0.0,6142.0,145.0,258.9072940701887,26.0,979.0,0.0,2004.0,1.0,5,-97.7486072,27.6744741,-97.4,42.4
3908,29034.0,natural,27.68402,-97.83324,2011.0,0.0,0.0,0,,12,-1050,0.0,0.0,8393.0,149.75,287.7472322263179,18.0,946.0,0.0,2011.0,1.0,5,-97.83324,27.68402,-97.4,42.4
14490,,,,,2010.0,27.7,-98.1,tropical storm,0.0,45,-991,90.0,0.0,,,,,,,2010.0,0.0,5,-98.1,27.7,-95.0,20.0
5779,4494.0,outside,27.747374,-97.814076,2020.0,0.0,0.0,0,,12,-1050,0.0,0.0,11254.0,138.25,289.68664792073906,15.0,998.0,0.0,2020.0,1.0,5,-97.814076,27.747374,-97.4,42.4
4036,28858.0,outside,29.206868,-94.561023,2011.0,26.0,-95.0,0,,45,-1004,0.0,0.0,8660.0,13.0,201.0,12.0,990.0,0.0,2011.0,1.0,5,-94.561023,29.206868,-85.7,21.6
13808,,,,,2007.0,29.5,-94.4,hurricane,1.0,80,-985,75.0,15.0,,,,,,,2007.0,0.0,5,-94.4,29.5,-92.3,27.8
8340,,,,,1989.0,29.5,-94.3,hurricane,1.0,70,-984,,,,,,,,,1989.0,0.0,5,-94.3,29.5,-90.0,22.5
2110,3523.0,outside,29.5631308,-94.3899227,1998.0,27.0,-96.0,0,,60,-1002,0.0,0.0,4480.0,44.0,191.0,31.0,989.0,0.0,1998.0,1.0,5,-94.3899227,29.5631308,-92.3,25.3
1584,3133.0,outside,29.5631308,-94.3899227,1989.0,29.0,-94.0,0,,70,-986,0.0,0.0,2002.0,53.0,2.0,33.0,984.0,0.0,1989.0,1.0,5,-94.3899227,29.5631308,-90.0,22.5
3012,3853.0,human,26.9072605,-99.2714255,2006.0,0.0,0.0,0,,12,-1050,0.0,0.0,6905.0,294.5,173.74398845841887,7.0,944.0,0.0,2006.0,1.0,5,-99.2714255,26.9072605,-97.4,42.4
951,14489.0,outside,27.5035613,-99.5075519,1982.0,0.0,0.0,0,,12,-1050,0.0,0.0,690.0,425.5,291.1189753467892,8.0,998.0,0.0,1982.0,1.0,5,-99.5075519,27.5035613,-97.4,42.4
823,2186.0,outside,27.5035613,-99.5075519,1981.0,0.0,0.0,0,,12,-1050,0.0,0.0,690.0,126.5,291.1189753467892,8.0,998.0,0.0,1981.0,1.0,5,-99.5075519,27.5035613,-97.4,42.4
997,2524.0,outside,27.5035613,-99.5075519,1982.0,0.0,0.0,0,,12,-1050,0.0,0.0,690.0,572.5,291.1189753467892,8.0,998.0,0.0,1982.0,1.0,5,-99.5075519,27.5035613,-97.4,42.4
5319,26065.0,outside,28.31291,-99.72928,2018.0,0.0,0.0,0,,12,-1050,0.0,0.0,10486.0,259.75,288.8508981202955,17.0,937.0,2.0,2018.0,1.0,5,-99.72928,28.31291,-97.4,42.4
4470,28130.0,outside,28.3563889,-99.571389,2013.0,0.0,0.0,0,,12,-1050,0.0,0.0,8665.0,700.9166666666666,151.520815329702,3.0,1004.0,0.0,2013.0,1.0,5,-99.571389,28.3563889,-97.4,42.4
6274,24799.0,outside,28.3656408,-99.6473912,2021.0,27.0,-96.0,0,,55,-998,0.0,0.0,12091.0,29.0,209.0,23.0,973.0,0.0,2021.0,1.0,5,-99.6473912,28.3656408,-93.1,21.0
2949,4008.0,human,28.5219292,-99.8606107,2006.0,0.0,0.0,0,,12,-1050,0.0,0.0,6905.0,227.5,254.2822647840641,5.0,944.0,0.0,2006.0,1.0,5,-99.8606107,28.5219292,-97.4,42.4
5265,4745.0,human,28.6681,-100.4526,2018.0,0.0,0.0,0,,12,-1050,0.0,0.0,10480.0,164.25,277.46538432987484,14.0,937.0,2.0,2018.0,1.0,5,-100.4526,28.6681,-97.4,42.4
